score
87.0
3.0
87.0
35.0
65.0
49.0
59.0
12.0
73.0
100.0
79.0
79.0
83.0
33.0
29.0
90.0
2.0
93.0
93.0
97.0
4.0
67.0
1.0
14.0
82.0
97.0
80.0
33.0
86.0
74.0
22.0
92.0
97.0
86.0
98.0
81.0
83.0
13.0
60.0
16.0
59.0
28.0
98.0
11.0
41.0
66.0
74.0
58.0
46.0
71.0
74.0
66.0
9.0
32.0
53.0
100.0
17.0
65.0
54.0
92.0
83.0
58.0
60.0
30.0
26.0
34.0
83.0
78.0
82.0
80.0
40.0
95.0
80.0
66.0
79.0
26.0
33.0
61.0
81.0
50.0
18.0
23.0
50.0
70.0
13.0
23.0
57.0
93.0
86.0
70.0
81.0
83.0
89.0
62.0
72.0
76.0
100.0
61.0
3.0
64.0
30.0
69.0
100.0
86.0
79.0
92.0
91.0
65.0
35.0
100.0
79.0
94.0
93.0
59.0
91.0
63.0
100.0
95.0
53.0
18.0
59.0
44.0
23.0
96.0
41.0
92.0
63.0
1.0
3.0
100.0
52.0
100.0
81.0
73.0
26.0
56.0
41.0
100.0
9.0
78.0
60.0
51.0
61.0
28.0
70.0
2.0
99.0
58.0
84.0
61.0
31.0
82.0
76.0
100.0
87.0
87.0
23.0
18.0
100.0
89.0
74.0
64.0
100.0
93.0
6.0
90.0
18.0
53.0
23.0
91.0
2.0
30.0
41.0
71.0
83.0
87.0
69.0
100.0
67.0
84.0
83.0
35.0
90.0
88.0
100.0
92.0
46.0
85.0
100.0
72.0
66.0
89.0
57.0
75.0
52.0
6.0
7.0
88.0
25.0
58.0
34.0
73.0
8.0
99.0
37.0
94.0
100.0
83.0
1.0
73.0
84.0
69.0
27.0
89.0
100.0
41.0
99.0
67.0
74.0
90.0
29.0
5.0
100.0
68.0
100.0
100.0
51.0
81.0
25.0
75.0
73.0
99.0
65.0
79.0
90.0
85.0
49.0
1.0
59.0
62.0
48.0
47.0
100.0
57.0
32.0
6.0
28.0
96.0
28.0
99.0
58.0
47.0
77.0
85.0
32.0
96.0
77.0
50.0
3.0
59.0
1.0
73.0
97.0
6.0
98.0
84.0
74.0
83.0
92.0
93.0
73.0
8.0
96.0
92.0
93.0
1.0
31.0
95.0
2.0
44.0
76.0
81.0
63.0
88.0
74.0
57.0
1.0
64.0
100.0
71.0
62.0
3.0
1.0
32.0
38.0
20.0
61.0
55.0
39.0
4.0
48.0
86.0
81.0
94.0
79.0
24.0
91.0
19.0
100.0
98.0
27.0
80.0
71.0
28.0
57.0
77.0
64.0
60.0
89.0
34.0
31.0
62.0
19.0
86.0
84.0
83.0
65.0
100.0
99.0
1.0
71.0
27.0
100.0
3.0
74.0
100.0
68.0
94.0
66.0
100.0
62.0
100.0
44.0
8.0
62.0
84.0
3.0
100.0
1.0
80.0
81.0
68.0
44.0
67.0
71.0
3.0
88.0
95.0
83.0
43.0
46.0
23.0
58.0
76.0
89.0
85.0
41.0
100.0
67.0
55.0
68.0
29.0
89.0
1.0
98.0
80.0
97.0
15.0
12.0
100.0
53.0
44.0
100.0
34.0
55.0
89.0
78.0
100.0
26.0
100.0
88.0
95.0
80.0
38.0
45.0
79.0
70.0
56.0
100.0
93.0
47.0
71.0
35.0
61.0
19.0
52.0
89.0
22.0
82.0
93.0
20.0
49.0
82.0
64.0
99.0
84.0
65.0
39.0
90.0
73.0
62.0
13.0
94.0
88.0
43.0
87.0
57.0
87.0
58.0
92.0
80.0
74.0
58.0
18.0
46.0
77.0
7.0
43.0
78.0
69.0
17.0
52.0
58.0
69.0
61.0
97.0
80.0
94.0
86.0
59.0
49.0
74.0
100.0
53.0
12.0
47.0
33.0
100.0
82.0
76.0
90.0
13.0
100.0
71.0
90.0
66.0
68.0
90.0
50.0
83.0
85.0
100.0
33.0
49.0
48.0
76.0
88.0
55.0
51.0
98.0
37.0
87.0
7.0
12.0
59.0
59.0
74.0
60.0
77.0
12.0
78.0
78.0
100.0
91.0
85.0
78.0
100.0
100.0
42.0
67.0
31.0
24.0
100.0
15.0
100.0
9.0
96.0
97.0
87.0
43.0
60.0
94.0
70.0
74.0
45.0
100.0
35.0
24.0
38.0
86.0
36.0
53.0
36.0
94.0
10.0
95.0
98.0
59.0
80.0
49.0
29.0
79.0
1.0
15.0
95.0
65.0
89.0
91.0
28.0
22.0
36.0
85.0
83.0
64.0
24.0
62.0
99.0
100.0
99.0
64.0
83.0
97.0
53.0
78.0
51.0
99.0
100.0
6.0
78.0
46.0
38.0
100.0
83.0
36.0
67.0
74.0
19.0
98.0
70.0
54.0
59.0
61.0
96.0
32.0
87.0
42.0
88.0
13.0
38.0
58.0
25.0
41.0
61.0
19.0
41.0
79.0
73.0
40.0
68.0
64.0
35.0
99.0
32.0
59.0
27.0
65.0
60.0
1.0
86.0
20.0
67.0
66.0
89.0
99.0
88.0
17.0
87.0
93.0
12.0
88.0
52.0
87.0
84.0
65.0
76.0
81.0
28.0
83.0
87.0
88.0
89.0
64.0
97.0
80.0
56.0
54.0
30.0
51.0
93.0
42.0
62.0
100.0
82.0
84.0
67.0
33.0
74.0
87.0
1.0
72.0
93.0
57.0
100.0
70.0
4.0
79.0
51.0
14.0
100.0
71.0
95.0
93.0
53.0
80.0
71.0
51.0
64.0
20.0
73.0
89.0
10.0
73.0
100.0
57.0
30.0
97.0
34.0
82.0
38.0
36.0
87.0
80.0
95.0
33.0
10.0
98.0
87.0
100.0
97.0
6.0
100.0
85.0
28.0
99.0
62.0
24.0
72.0
100.0
55.0
61.0
81.0
75.0
44.0
74.0
71.0
93.0
88.0
58.0
37.0
97.0
48.0
80.0
58.0
35.0
81.0
18.0
67.0
100.0
19.0
40.0
99.0
1.0
57.0
68.0
54.0
98.0
58.0
86.0
80.0
46.0
65.0
14.0
55.0
37.0
11.0
100.0
47.0
18.0
74.0
94.0
64.0
98.0
18.0
54.0
55.0
57.0
99.0
31.0
96.0
31.0
23.0
74.0
63.0
13.0
69.0
36.0
59.0
78.0
19.0
77.0
5.0
3.0
68.0
22.0
68.0
63.0
43.0
53.0
2.0
74.0
25.0
56.0
18.0
100.0
65.0
74.0
37.0
72.0
88.0
82.0
74.0
61.0
